                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    387,                  1.252,                 0.6093,                  1.128,                0.81399,                0.74036,                0.78541,                0.38629,                 1.7695,                0.75779,                 1.4634,              0.0004465,              0.0004465,              0.0004465
                    388,                 1.2583,                0.61085,                 1.1312,                0.81405,                0.74057,                0.78728,                0.38784,                  1.769,                0.75784,                 1.4634,             0.00042175,             0.00042175,             0.00042175
                    389,                  1.251,                 0.6111,                 1.1313,                0.81507,                 0.7391,                0.78695,                0.38693,                 1.7692,                0.75697,                 1.4639,               0.000397,               0.000397,               0.000397
                    390,                 1.2499,                0.61343,                 1.1309,                0.81596,                0.73767,                0.78776,                0.38699,                 1.7692,                0.75705,                 1.4641,             0.00037225,             0.00037225,             0.00037225
                    391,                 1.2897,                0.58515,                 1.1556,                0.81316,                0.74074,                0.78644,                0.38698,                 1.7691,                0.75699,                 1.4644,              0.0003475,              0.0003475,              0.0003475
                    392,                 1.2736,                0.57591,                 1.1492,                0.81159,                0.74106,                0.78634,                0.38718,                 1.7689,                0.75753,                 1.4645,             0.00032275,             0.00032275,             0.00032275
                    393,                 1.2673,                0.57028,                 1.1426,                   0.81,                0.74204,                0.78623,                0.38692,                 1.7691,                0.75756,                 1.4653,               0.000298,               0.000298,               0.000298
                    394,                 1.2611,                 0.5673,                 1.1408,                0.81338,                0.74456,                0.78971,                0.38684,                 1.7694,                0.75735,                 1.4656,             0.00027325,             0.00027325,             0.00027325
                    395,                 1.2624,                0.56927,                 1.1452,                0.81377,                0.74343,                0.78954,                0.38871,                  1.769,                 0.7582,                 1.4659,              0.0002485,              0.0002485,              0.0002485
                    396,                 1.2627,                  0.566,                 1.1399,                0.81699,                0.74178,                0.79023,                0.38861,                 1.7692,                 0.7581,                 1.4666,             0.00022375,             0.00022375,             0.00022375
                    397,                 1.2573,                0.56482,                 1.1378,                0.81692,                0.74164,                0.78987,                0.38858,                 1.7684,                0.75796,                 1.4665,               0.000199,               0.000199,               0.000199
                    398,                 1.2582,                0.56568,                 1.1375,                0.82307,                 0.7344,                0.78977,                0.38881,                 1.7686,                0.75857,                 1.4665,             0.00017425,             0.00017425,             0.00017425
                    399,                 1.2528,                0.56477,                 1.1408,                0.82276,                 0.7344,                0.79003,                0.38925,                 1.7695,                0.75893,                 1.4673,              0.0001495,              0.0001495,              0.0001495
                    400,                 1.2556,                0.56114,                 1.1409,                0.81973,                0.72904,                0.78635,                0.38893,                 1.7698,                0.75943,                 1.4675,             0.00012475,             0.00012475,             0.00012475
