                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.4917,                0.82288,                 1.2762,                0.86411,                0.69651,                0.77284,                0.37553,                 1.7436,                0.79069,                 1.4389,               0.008119,               0.008119,               0.008119
                     97,                 1.4885,                0.82344,                 1.2766,                0.82774,                0.71432,                 0.7803,                0.39325,                 1.7356,                0.77958,                 1.4345,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.4899,                0.81992,                 1.2722,                0.83076,                0.71519,                0.77741,                0.38954,                 1.7424,                0.77704,                 1.4374,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.4818,                0.81321,                  1.268,                0.85218,                0.69999,                0.78154,                0.38782,                 1.7338,                0.78338,                 1.4311,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.4839,                0.81581,                 1.2688,                0.85861,                0.70265,                0.77103,                0.38717,                 1.7386,                0.78058,                 1.4352,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.4873,                0.81852,                 1.2712,                0.85833,                0.70943,                0.76076,                0.38735,                 1.7351,                0.77725,                 1.4276,                0.00802,                0.00802,                0.00802
                    102,                 1.4753,                0.80636,                 1.2669,                0.85374,                0.70813,                0.77225,                0.38599,                  1.742,                0.78228,                 1.4315,              0.0080002,              0.0080002,              0.0080002
                    103,                   1.47,                0.80865,                 1.2656,                0.84067,                0.73779,                0.77693,                0.38615,                 1.7423,                0.77163,                 1.4271,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.4726,                0.80715,                 1.2663,                0.84756,                0.71644,                0.78382,                0.38184,                 1.7369,                0.77088,                  1.428,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.4732,                0.80481,                 1.2599,                0.83943,                 0.7223,                0.78435,                0.38176,                 1.7381,                0.77501,                 1.4278,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.4689,                0.80076,                 1.2602,                0.85822,                0.71268,                0.78044,                0.37831,                   1.74,                0.77656,                 1.4287,               0.007921,               0.007921,               0.007921
                    107,                 1.4722,                0.80482,                 1.2625,                0.85251,                 0.7198,                0.77905,                0.38281,                  1.745,                0.77159,                 1.4356,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.4655,                0.79593,                 1.2558,                0.85913,                0.72065,                0.77188,                0.38587,                 1.7465,                0.76594,                 1.4312,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.4633,                0.79682,                 1.2601,                0.85134,                0.72817,                0.77345,                0.38989,                 1.7365,                0.76486,                 1.4224,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.4689,                0.79741,                 1.2592,                0.87893,                0.71765,                0.77702,                0.39581,                 1.7532,                 0.7717,                 1.4332,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.4659,                0.78699,                 1.2591,                0.88233,                0.73116,                0.78993,                0.39253,                 1.7525,                0.77413,                 1.4358,               0.007822,               0.007822,               0.007822
                    112,                 1.4642,                0.78982,                 1.2503,                0.87352,                0.73449,                0.78475,                0.39363,                 1.7428,                0.77104,                 1.4282,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.4568,                0.79146,                 1.2511,                0.84551,                0.73271,                 0.7747,                0.38209,                 1.7486,                 0.7709,                 1.4312,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.4592,                0.79224,                 1.2507,                0.83692,                0.73142,                0.78195,                0.38151,                  1.747,                0.76454,                 1.4298,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.4596,                0.78707,                   1.25,                 0.8471,                0.73945,                0.78305,                0.38442,                 1.7487,                0.76423,                 1.4323,              0.0077428,              0.0077428,              0.0077428
